ticket_id,customer_id,timestamp,channel,issue_type,resolution_time_min,was_resolved
T67343,C101163,2021-10-15 00:00:00,email,technical,139.0,1.0
T40570,C100442,16/08/2023 00:00,chat,billing,272.0,
T39048,C101154,03/10/2023 00:00,,technical,234.0,0.0
T57182,C101340,2023-11-07 00:00:00,email,billing,30.0,
T32047,C101040,2023-11-26 00:00:00,phone,billing,150.0,0.0
T11628,C101243,31/12/2024 00:00,whatsapp,??,38.0,
T24108,C100520,2023-03-02 00:00:00,,,126.0,0.0
T31194,C101287,19/08/2022 00:00,chat,general,178.0,1.0
T34381,C101010,18/04/2021 00:00,,,228.0,0.0
T42351,C101162,19/10/2022 00:00,phone,billing,96.0,0.0
T53389,C100478,2021-03-06 00:00:00,chat,billing,239.0,1.0
T56281,C100761,29/01/2025 00:00,,,1.0,
T25327,C100752,25/08/2023 00:00,,general,146.0,1.0
T19863,C101242,2022-09-02 00:00:00,phone,??,41.0,0.0
T17386,C100338,2024-03-28 00:00:00,whatsapp,technical,69.0,0.0
T36870,C101422,2023-10-02 00:00:00,email,technical,263.0,
T37692,C100781,2022-07-13 00:00:00,chat,billing,162.0,0.0
T95288,C101008,2023-11-28 00:00:00,whatsapp,billing,201.0,0.0
T29897,,2023-11-13 00:00:00,phone,technical,242.0,0.0
T54456,C101213,29/10/2022 00:00,phone,,12.0,
T11606,C100152,2022-10-24 00:00:00,email,general,,
T70719,C100681,2024-03-28 00:00:00,phone,??,19.0,1.0
T81066,C101178,2022-08-14 00:00:00,email,,264.0,
T19207,C101357,2021-09-10 00:00:00,,technical,127.0,0.0
T11422,C100230,10/06/2023 00:00,chat,technical,113.0,1.0
T21514,C101281,10/05/2024 00:00,,??,194.0,1.0
T80479,C101489,2022-12-12 00:00:00,whatsapp,,108.0,
T71912,C100646,2021-11-17 00:00:00,email,general,297.0,
T21501,C101113,2022-03-27 00:00:00,chat,general,164.0,
T85635,C101241,14/06/2024 00:00,phone,billing,273.0,
T94814,C101413,03/10/2021 00:00,whatsapp,??,97.0,
T27855,C101048,03/12/2021 00:00,phone,??,30.0,0.0
T36068,C100704,2021-05-26 00:00:00,,,203.0,
T81183,C100486,2022-01-24 00:00:00,phone,billing,281.0,0.0
T22986,C100188,2023-03-16 00:00:00,chat,technical,47.0,0.0
T44679,C101466,2023-06-09 00:00:00,email,??,124.0,0.0
T55563,C101160,2023-09-17 00:00:00,,billing,,0.0
T86559,C100830,2022-03-23 00:00:00,whatsapp,,58.0,
T74697,C100422,2022-07-13 00:00:00,email,billing,97.0,0.0
T91781,C100502,2022-03-31 00:00:00,,technical,178.0,0.0
T38386,C100050,28/06/2022 00:00,phone,,115.0,0.0
T44372,C100342,06/12/2024 00:00,email,general,124.0,0.0
T30991,C100367,2024-04-21 00:00:00,phone,general,60.0,0.0
T34809,C100888,2024-11-10 00:00:00,whatsapp,,,
T99715,C101272,31/05/2021 00:00,phone,billing,207.0,
T65780,C101130,2021-09-11 00:00:00,email,??,143.0,
T28589,C100154,11/04/2024 00:00,phone,??,82.0,
T47844,C100328,20/10/2021 00:00,whatsapp,billing,279.0,1.0
T78529,C100129,2023-09-13 00:00:00,chat,,166.0,1.0
T86332,C100279,18/02/2021 00:00,whatsapp,billing,120.0,1.0
T68657,C101110,13/04/2024 00:00,whatsapp,??,254.0,1.0
T89495,C101493,2022-09-28 00:00:00,,general,7.0,1.0
T99665,C100964,2022-05-07 00:00:00,,general,65.0,
T18227,C100015,2021-05-20 00:00:00,chat,??,198.0,
T71176,C100023,2023-07-01 00:00:00,chat,technical,110.0,0.0
T23665,C101215,2024-05-23 00:00:00,email,billing,247.0,
T11431,C100018,2021-09-11 00:00:00,email,,101.0,1.0
T32164,C100019,17/01/2022 00:00,email,??,,
T25194,C100548,18/01/2022 00:00,chat,,95.0,0.0
T95474,C100691,11/11/2022 00:00,phone,general,235.0,1.0
T13818,C101108,2023-09-13 00:00:00,,general,109.0,1.0
T40035,C100627,2023-01-23 00:00:00,chat,,167.0,
T49517,C101123,2024-01-13 00:00:00,,??,130.0,0.0
T95929,C100864,08/03/2024 00:00,,general,32.0,1.0
T86445,C100234,07/06/2022 00:00,email,??,,0.0
T83733,C100730,09/12/2022 00:00,whatsapp,,74.0,0.0
T19206,C100579,2021-09-24 00:00:00,whatsapp,,224.0,0.0
T41084,C100867,2023-06-14 00:00:00,email,billing,98.0,0.0
T39752,C100271,2024-10-02 00:00:00,chat,??,46.0,
T45716,C100772,2022-06-30 00:00:00,,technical,62.0,0.0
T68332,C100264,2021-11-27 00:00:00,chat,general,33.0,
T84450,C101387,19/04/2022 00:00,,,200.0,
T15470,C101378,2023-10-04 00:00:00,phone,??,163.0,1.0
T69948,C100440,2023-01-16 00:00:00,chat,technical,170.0,0.0
T45105,C100041,2021-03-12 00:00:00,chat,technical,65.0,
T12062,C100115,2022-01-06 00:00:00,chat,billing,74.0,
T98381,C101410,2022-11-07 00:00:00,,??,185.0,0.0
T69813,,08/11/2021 00:00,phone,??,132.0,1.0
T83965,C100177,2021-04-05 00:00:00,whatsapp,,49.0,1.0
T99283,C100850,2022-07-12 00:00:00,email,??,87.0,0.0
T20937,C101027,17/08/2023 00:00,email,general,132.0,1.0
T64819,C100160,2024-06-21 00:00:00,phone,general,270.0,1.0
T11698,C100564,22/10/2022 00:00,whatsapp,technical,130.0,
T26147,C100754,2024-04-30 00:00:00,phone,billing,135.0,1.0
T12453,C101404,2024-01-02 00:00:00,phone,??,100.0,
T67477,C100967,19/11/2021 00:00,,technical,86.0,
T73982,C101306,2023-10-27 00:00:00,email,technical,125.0,1.0
T78563,C101206,2022-08-01 00:00:00,email,billing,277.0,
T39945,C100938,2021-01-14 00:00:00,phone,technical,153.0,1.0
T32360,C101172,20/08/2021 00:00,chat,billing,141.0,1.0
T91157,C100683,2021-10-13 00:00:00,phone,technical,27.0,1.0
T17099,C101165,2022-05-01 00:00:00,chat,billing,235.0,0.0
T28022,C100830,2022-09-03 00:00:00,email,billing,111.0,0.0
T53648,C100676,14/03/2024 00:00,phone,??,219.0,
T30914,C101031,2021-02-23 00:00:00,whatsapp,,290.0,0.0
T58472,C100369,2024-06-20 00:00:00,phone,billing,42.0,
T73381,C100037,2024-11-03 00:00:00,,billing,53.0,0.0
T96743,C100861,24/07/2022 00:00,whatsapp,technical,18.0,0.0
T38330,C100865,03/02/2025 00:00,phone,technical,171.0,1.0
T56416,C100572,09/01/2024 00:00,email,billing,298.0,0.0
T56519,C101328,2022-10-23 00:00:00,chat,,76.0,
T34839,C100388,15/07/2023 00:00,email,technical,129.0,1.0
T93781,C100247,2022-05-26 00:00:00,whatsapp,general,11.0,1.0
T32561,C101357,26/09/2024 00:00,chat,technical,273.0,
T90803,C100754,2021-10-17 00:00:00,chat,billing,27.0,0.0
T41157,C101394,27/02/2024 00:00,,billing,297.0,1.0
T81780,C100319,12/09/2022 00:00,email,technical,159.0,0.0
T74599,C100145,08/03/2024 00:00,chat,??,223.0,1.0
T83532,C100928,2023-11-03 00:00:00,phone,??,248.0,1.0
T50197,C101155,27/09/2023 00:00,email,technical,,0.0
T52200,C100568,2024-12-20 00:00:00,email,,253.0,
T86331,C100535,2025-01-08 00:00:00,chat,general,287.0,
T63942,C100735,2024-01-20 00:00:00,chat,,268.0,
T35190,C100800,2023-12-31 00:00:00,chat,technical,239.0,1.0
T56316,C100349,2022-10-05 00:00:00,phone,billing,43.0,0.0
T42467,C100623,17/09/2021 00:00,chat,??,282.0,0.0
T43251,C100590,30/03/2023 00:00,email,technical,122.0,
T81707,C100011,2021-06-06 00:00:00,,general,124.0,1.0
T41612,C100739,17/05/2022 00:00,whatsapp,general,171.0,
T90418,C100006,2021-10-24 00:00:00,chat,billing,222.0,
T70883,C100926,10/01/2025 00:00,whatsapp,technical,145.0,0.0
T32854,C100645,29/03/2021 00:00,email,technical,44.0,0.0
T12610,C100974,2021-11-30 00:00:00,,technical,92.0,
T72304,C101142,2021-07-18 00:00:00,email,??,178.0,1.0
