customer_id,date_count,call_minutes_mean,call_minutes_std,call_minutes_sum,call_minutes_max,data_usage_gb_mean,data_usage_gb_std,data_usage_gb_sum,data_usage_gb_max,sms_count_mean,sms_count_std,sms_count_sum,sms_count_max,amount_paid_mean,amount_paid_std,amount_paid_sum,amount_paid_max,usage_trend,spend_trend,usage_volatility,spend_volatility,recent_avg_spend,historical_avg_spend,spend_change_pct
C100000,15,313.2,109.25,4697.93,491.2,4.76,1.85,71.34,7.62,53.6,22.8,804,89,60.66,30.88,909.97,112.95,0.03805029391354786,-1.1273060420900078,1.852919185927589,30.880028796394754,53.463338510400256,62.46513314023454,-0.1441091081904078
C100001,21,343.59,107.94,7215.43,517.61,5.39,2.24,113.23,9.98,50.33,21.14,1057,80,62.77,35.06,1318.2,109.31,0.1507474537974681,0.024438324499216308,2.2358620401516722,35.05666223913543,50.22300752871244,64.86285445049434,-0.2257046355083796
C100002,11,271.79,100.95,2989.65,466.34,5.09,2.33,56.04,8.06,48.64,19.29,535,71,60.01,36.57,660.13,113.82,0.13997225805580274,3.556290416530118,2.333024982422757,36.57286481068366,54.38422674895787,62.12267284753115,-0.12456717883929257
C100003,13,252.32,90.62,3280.12,360.36,5.01,2.36,65.1,9.24,59.15,19.84,769,87,66.09,32.65,859.12,117.49,0.28046951014104465,0.8582078781032532,2.3612935794973815,32.64623358206843,73.05952403455113,63.99442539579296,0.14165450478994565
C100004,20,277.53,94.76,5550.56,439.99,5.85,2.33,116.95,12.11,49.5,19.19,990,75,59.28,23.99,1185.67,111.83,0.10122438406298387,-1.2835675965620863,2.3275972794014606,23.988257998649296,41.80426784027737,62.36784737998916,-0.3297144346577152
C100005,4,324.71,67.6,1298.86,424.98,5.56,1.83,22.23,7.15,40.25,21.36,161,70,49.51,25.22,198.03,81.94,0.5993341563082111,-19.07156140519805,1.8270481485512033,25.222368773819564,38.696361887664075,81.9360573972063,-0.5277248733109842
C100006,26,323.03,94.8,8398.77,472.8,5.84,1.74,151.8,8.96,49.04,19.41,1275,108,63.73,34.71,1656.92,119.83,-0.02466816779144137,0.09274637949294672,1.73647106581645,34.70697240489575,76.2121960599425,62.09914630853937,0.22726640526236058
C100007,19,265.11,94.06,5037.13,430.61,4.78,1.62,90.77,7.36,53.26,21.42,1012,94,64.73,31.73,1229.95,116.32,0.0475186134675555,3.070212927537334,1.6154801720302363,31.734145380524076,87.40963047886602,60.48259956343496,0.44520293621291246
C100008,4,286.61,45.51,1146.43,322.75,4.02,0.74,16.09,5.07,41.5,10.85,166,57,100.17,18.22,400.68,113.82,-0.05494779372563999,-13.152848868581291,0.7408125314701633,18.216449316122723,95.6206630442822,113.81680931602082,-0.15987222257492456
C100009,16,306.35,72.13,4901.55,433.29,4.28,2.06,68.41,8.27,46.81,25.07,749,89,51.11,32.19,817.69,103.97,-0.02864995422919339,-0.6628417730525936,2.0621062599780093,32.18754945314147,57.71477321849054,49.58079312992425,0.16405506195214664
